Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,505.0,520.6500244140625,503.5,509.6499938964844,50458762,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-10 00:00:00+05:30,506.25,515.9500122070312,500.20001220703125,510.75,26615777,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-11 00:00:00+05:30,510.0,519.0,501.0,503.45001220703125,29256213,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-12 00:00:00+05:30,506.95001220703125,509.54998779296875,497.3500061035156,507.04998779296875,20731808,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-15 00:00:00+05:30,506.25,514.9000244140625,504.5,505.45001220703125,18014977,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-16 00:00:00+05:30,506.8999938964844,526.8499755859375,506.20001220703125,519.0499877929688,55897781,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-17 00:00:00+05:30,520.25,536.7000122070312,520.25,530.1500244140625,48463415,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-18 00:00:00+05:30,531.4500122070312,534.2000122070312,501.29998779296875,509.70001220703125,47197742,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-22 00:00:00+05:30,512.25,512.25,478.3999938964844,486.1000061035156,40044849,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-23 00:00:00+05:30,484.3999938964844,499.3500061035156,477.0,495.5,27553684,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-24 00:00:00+05:30,499.0,501.79998779296875,485.29998779296875,488.6499938964844,20915837,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-25 00:00:00+05:30,490.79998779296875,495.1499938964844,486.5,492.75,15336539,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-26 00:00:00+05:30,486.0,486.75,458.0,460.20001220703125,51787989,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-29 00:00:00+05:30,457.0,470.75,443.1000061035156,461.45001220703125,42819150,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-11-30 00:00:00+05:30,466.54998779296875,478.0,455.6499938964844,458.6000061035156,35471800,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-01 00:00:00+05:30,467.8500061035156,478.3999938964844,463.54998779296875,475.25,28256188,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-02 00:00:00+05:30,479.3999938964844,480.45001220703125,471.70001220703125,479.1000061035156,21012008,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-03 00:00:00+05:30,480.0,484.70001220703125,477.29998779296875,480.1000061035156,20948900,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-06 00:00:00+05:30,480.1000061035156,480.8999938964844,466.0,467.20001220703125,17473075,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-07 00:00:00+05:30,476.8500061035156,484.8999938964844,471.0,481.79998779296875,21280797,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,,,False
2021-12-08 00:00:00+05:30,484.5,495.95001220703125,483.5,493.8999938964844,20581817,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.42806163838758343,,False
2021-12-09 00:00:00+05:30,498.0,498.5,489.54998779296875,493.95001220703125,16951593,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.4279087283973244,,False
2021-12-10 00:00:00+05:30,487.75,496.79998779296875,486.54998779296875,494.45001220703125,14567815,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.4251949259709037,,False
2021-12-13 00:00:00+05:30,499.45001220703125,506.3999938964844,494.20001220703125,495.3500061035156,21921272,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.4243338148841274,,False
2021-12-14 00:00:00+05:30,491.95001220703125,491.95001220703125,483.29998779296875,489.3999938964844,17722547,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.42614052409860065,,False
2021-12-15 00:00:00+05:30,487.79998779296875,497.70001220703125,487.25,491.6499938964844,16263723,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.41375802654096777,,False
2021-12-16 00:00:00+05:30,495.0,496.5,487.3999938964844,491.95001220703125,13581352,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.40439744642538117,,False
2021-12-17 00:00:00+05:30,488.0,488.8500061035156,468.20001220703125,470.20001220703125,27341178,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.4113335414384022,,False
2021-12-20 00:00:00+05:30,459.8999938964844,460.0,440.0,447.04998779296875,33007516,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.41547288761614626,,False
2021-12-21 00:00:00+05:30,452.1000061035156,460.8999938964844,449.8500061035156,453.6000061035156,18838054,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.41232575652925835,,False
2021-12-22 00:00:00+05:30,458.1499938964844,472.1499938964844,458.1499938964844,470.5,22730750,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.4355324377457826,,False
2021-12-23 00:00:00+05:30,476.0,478.0,470.95001220703125,472.3500061035156,12116814,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.43447212151591746,,False
2021-12-24 00:00:00+05:30,474.8999938964844,474.8999938964844,460.0,467.6000061035156,15487368,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.364351286431773,,False
2021-12-27 00:00:00+05:30,465.70001220703125,472.45001220703125,460.1000061035156,471.1499938964844,12557565,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.3650574068263205,,False
2021-12-28 00:00:00+05:30,475.20001220703125,482.79998779296875,472.6499938964844,480.20001220703125,22860916,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.36926433101950723,,False
2021-12-29 00:00:00+05:30,478.75,481.6000061035156,474.25,476.0,10263884,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.34871901820897766,,False
2021-12-30 00:00:00+05:30,472.54998779296875,476.3999938964844,468.6000061035156,470.3999938964844,11923961,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.34996008707640663,,False
2021-12-31 00:00:00+05:30,472.70001220703125,483.6000061035156,471.8500061035156,482.3999938964844,15541446,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.36208575931063314,,False
2022-01-03 00:00:00+05:30,493.5,500.8500061035156,492.0,497.6000061035156,32748423,0.0,0.0,3348900085760,0.057,,,0.097270004,117.15,,,,,,0.3628809814229676,,False
